"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"The Deep Data Warehouse: Link-Based Integration and Enrichment of Warehouse Data and Unstructured Content","C. Gröger; H. Schwarz; B. Mitschang","Inst. of Parallel & Distrib. Syst., Univ. of Stuttgart, Stuttgart, Germany; Inst. of Parallel & Distrib. Syst., Univ. of Stuttgart, Stuttgart, Germany; Inst. of Parallel & Distrib. Syst., Univ. of Stuttgart, Stuttgart, Germany","2014 IEEE 18th International Enterprise Distributed Object Computing Conference","","2014","","","210","217","Data warehouses are at the core of enterprise IT and enable the efficient storage and analysis of structured data. Besides, unstructured content, e.g., emails and documents, constitutes more than half of the entire enterprise data and contains a lot of implicit knowledge about warehouse entities. Thus, holistic ana-lytics require the integration of structured warehouse data and unstructured content to generate novel insights. These insights can also be used to enrich the integrated data and to create a new basis for further analytics. Existing integration approaches only support a limited range of analytical applications and require the costly adaptation of the warehouse schema. In this paper, we present the Deep Data Warehouse (DeepDWH), a novel type of data warehouse based on the flexible integration and enrichment of warehouse data and unstructured content, addressing the variety challenge of Big Data. It relies on information-rich in-stance-level links between warehouse elements and content items, which are represented in a graph-oriented structure. Neither adaptations of the existing warehouse nor the design of an overall federated schema are required. We design a conceptual linking model and develop a logical schema for links based on a property graph. As a proof of concept, we present a prototypical imple-mentation of the DeepDWH including a link store based on a graph database.","1541-7719","978-1-4799-5470-4","10.1109/EDOC.2014.36","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6972069","data warehouse;data integration;unstructured data;link-based integration;graph data","Data models;Joining processes;Analytical models;Data warehouses;Unified modeling language;Data mining","data analysis;data integration;data warehouses;graphs;storage management","deep data warehouse;enterprise IT;structured data analysis;structured data storage;enterprise data;warehouse entities;flexible warehouse data integration;flexible warehouse data enrichment;unstructured content;information-rich instance-level links;warehouse elements;content items;graph-oriented structure;conceptual linking model;logical schema;property graph;DeepDWH;graph database;link-based integration","","5","28","","","","","IEEE","IEEE Conferences"
"Research on Heterogeneous Data Access and Integration Model Based on OGSA-DAI","J. Gao; J. Xiao","Exp. Center, China West Normal Univ., Nanchong, China; Exp. Center, China West Normal Univ., Nanchong, China","2013 International Conference on Computational and Information Sciences","","2013","","","1690","1693","Aiming at the existing problems with traditional integration technology, the system structure, service and workflow of OGSA-DAI are analyzed thoroughly. Based on OGSA-DAI extension, the data heterogeneity of semantic is shielded by schema mapping. An integration model is proposed to solve data integration and distributed query under the grid environment, achieving transparent access to distributed heterogeneous data and associated process.","","978-0-7695-5004-6","10.1109/ICCIS.2013.441","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6643360","distributed;heterogeneous;data integration;OGSA-DAI","Data integration;Distributed databases;Data models;Middleware;XML;Computational modeling","data integration;grid computing;query processing","distributed heterogeneous data access;heterogeneous data integration model;OGSA-DAI extension;semantic data heterogeneity;schema mapping;distributed query;grid environment","","","7","","","","","IEEE","IEEE Conferences"
"Some key problems of data management in army data engineering based on big data","X. HongJu; W. Fei; W. FenMei; W. XiuZhen","Department of Computer Science, Army Officer Academy, Hefei, China; Department of Computer Science, Army Officer Academy, Hefei, China; Department of Computer Science, Army Officer Academy, Hefei, China; Department of Computer Science, Army Officer Academy, Hefei, China","2017 IEEE 2nd International Conference on Big Data Analysis (ICBDA)","","2017","","","149","152","This paper analyzed the challenges of data management in army data engineering, such as big data volume, data heterogeneous, high rate of data generation and update, high time requirement of data processing, and widely separated data sources. We discussed the disadvantages of traditional data management technologies to deal with these problems. We also highlighted the key problems of data management in army data engineering including data integration, data analysis, representation of data analysis results, and evaluation of data quality.","","978-1-5090-3619-6","10.1109/ICBDA.2017.8078796","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8078796","army data engineering;data management;data integration;data analysis;representation of data analysis results;data quality","Data engineering;Data analysis;Data integration;Big Data;Distributed databases;Data models;Uncertainty","Big Data;data analysis;data integration;military computing","data generation;data processing;data quality;big data;army data engineering;data analysis;data management technologies;data integration","","3","7","","","","","IEEE","IEEE Conferences"
"Informed Design Platform: Interpreting “Big Data” to Adaptive Place Designs","L. You; B. Tunçer","Archit. & Sustainable Design, Singapore Univ. of Technol. & Design, Singapore, Singapore; Archit. & Sustainable Design, Singapore Univ. of Technol. & Design, Singapore, Singapore","2016 IEEE 16th International Conference on Data Mining Workshops (ICDMW)","","2016","","","1332","1335","As a novel concept, ""Informed Design"" is proposed in a multidisciplinary project ""Livable Places"" in Singapore to innovate place design from empirical to evidential by harnessing geo-referenced ""Big Data"" for a responsive design. As a final delivery, an Informed Design Platform (IDP) is being implemented as a design support tool interpreting multi-source big data to adaptive urban designs for a more livable place. Due to the complexity in ""Objects"", which include physical devices and virtual services to generate space related data, ""Data"", which are massive and heterogenous to be interlinked and analyzed for valuable insights, and ""Services"", which integrate back-end and front-end service modules for innovative services, IDP collaborates them through dedicated mechanisms proposed by a Smart Service Orchestration Architecture (SSOA) to achieve a high scalability in data collection, integration, analysis, and visualization. In this paper, the overall design and currently available services of IDP are presented.","2375-9259","978-1-5090-5910-2","10.1109/ICDMW.2016.0197","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7836828","Informed Design Platform (IDP);Smart Service Orchestration Architecture (SSOA);Smart Service Orchestration;Multi-source data integration and analysis","Sensors;Cloud computing;Data models;Conferences;Data mining;Social network services;Big data","Big Data;data analysis;data integration;data visualisation;service-oriented architecture","informed design platform;adaptive place designs;livable places multidisciplinary project;IDP;design support tool;multisource Big Data;adaptive urban designs;physical devices;virtual services;front-end service modules;back-end service modules;innovative services;smart service orchestration architecture;SSOA;data collection;data integration;data analysis;data visualization","","4","6","","","","","IEEE","IEEE Conferences"
"Semantic Data Integration Techniques for Transforming Big Biomedical Data into Actionable Knowledge","M. Vidal; S. Jozashoori; A. Sakor","TIB Leibniz Information Centre for Science and Technology, Germany; L3S Institute, Lebniz University of Hannover; L3S Inst., Leibniz Univ. of Hannover, Hannover, Germany","2019 IEEE 32nd International Symposium on Computer-Based Medical Systems (CBMS)","","2019","","","563","566","FAIR principles and the Open Data initiatives have motivated the publication of large volumes of data. Specifically, in the biomedical domain, the size of the data has increased exponentially in the last decade, and with the advances in the technologies to collect and generate data, a faster growth rate is expected for the next years. The available collections of data are characterized by the dominant dimensions of big data, i.e., they are not only large in volume, but they can be also heterogeneous and present quality issues. These data complexity problems impact on the typical tasks of data management, and particularly, in the task of integrating big biomedical data sources. We tackle the problem of big data integration and present a knowledge-driven framework able to extract and integrate data collected from structured and unstructured data sources. The proposed framework resorts to Natural Language Processing techniques to extract knowledge from unstructured data and short text. Furthermore, ontologies and controlled vocabularies, e.g., UMLS, are utilized to annotate the extracted entities and relations with terms from the ontology or controlled vocabulary. The annotated data is integrated into a knowledge graph. A unified schema is used to describe the meaning of the integrated data as well as the main properties and relations. As proof of concept, we show the results of applying the proposed framework to integrate clinical records from lung cancer patients with data extracted from open data sources like Drugbank and PubMed. The created knowledge graph enables the discovery of interactions between drugs in the treatments prescribed to lung cancer patients.","2372-9198","978-1-7281-2286-1","10.1109/CBMS.2019.00116","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8787394","Semantic Data Integration;Big Data;Knowledge Graph;Biomedical Data;Natural Language Processing","Drugs;Data mining;Semantics;Data integration;Unified modeling language;Ontologies;Bioinformatics","Big Data;cancer;data analysis;data integration;data mining;lung;medical information systems;natural language processing;ontologies (artificial intelligence)","actionable knowledge;biomedical domain;available collections;data complexity problems impact;data management;big biomedical data sources;big data integration;knowledge-driven framework;unstructured data;annotated data;integrated data;open data sources;created knowledge graph;big biomedical data;open data initiatives;natural language processing techniques;semantic data integration techniques;UMLS;FAIR principles","","","18","","","","","IEEE","IEEE Conferences"
"Design and Implementation of Clinical Data Integration and Management System Based on Hadoop Platform","D. Lyu; Y. Tian; Y. Wang; D. Tong; W. Yin; J. Li","EMR & Intell. Expert Syst. Eng. Res. Center of Minist. of Educ., Zhejiang Univ. Hangzhou, Hangzhou, China; EMR & Intell. Expert Syst. Eng. Res. Center of Minist. of Educ., Zhejiang Univ. Hangzhou, Hangzhou, China; EMR & Intell. Expert Syst. Eng. Res. Center of Minist. of Educ., Zhejiang Univ. Hangzhou, Hangzhou, China; EMR & Intell. Expert Syst. Eng. Res. Center of Minist. of Educ., Zhejiang Univ. Hangzhou, Hangzhou, China; EMR & Intell. Expert Syst. Eng. Res. Center of Minist. of Educ., Zhejiang Univ. Hangzhou, Hangzhou, China; EMR & Intell. Expert Syst. Eng. Res. Center of Minist. of Educ., Zhejiang Univ. Hangzhou, Hangzhou, China","2015 7th International Conference on Information Technology in Medicine and Education (ITME)","","2015","","","76","79","With the increasing size of the medical data, the traditional processing methods and tools could not meet the requirements. So, resolving the challenges that the big medical data faces, is critical to realizing the promise of the big data [1]. Aiming at the problems in the big data integration process, this paper proposes the clinical data integration and management system based on Hadoop platform. As a result, the system can connect with multiple heterogeneous data source, such as EMR, PACS, LIS and so on. And then, on the basis of the data sharing, it can retrieve the patient's medical records and manage the different information.","","978-1-4673-8302-8","10.1109/ITME.2015.86","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7429101","Hadoop platform;clinical data;data integration and management","Data integration;Big data;Engines;Servers;Picture archiving and communication systems;Clinical diagnosis;Business","Big Data;data integration;information retrieval;medical information systems;parallel processing","information management;patient medical record retrieval;data sharing;LIS;PACS;EMR;multiple heterogeneous data source;big medical data integration process;Hadoop platform;clinical data integration and management system design;clinical data integration and management system implementation","","3","9","","","","","IEEE","IEEE Conferences"
"The design and implementation of the enterprise level data platform and big data driven applications and analytics","Hesen Liu; Jiahui Guo; Wenpeng Yu; Lin Zhu; Yilu Liu; Tao Xia; Rui Sun; R. M. Gardner","The University of Tennessee, Knoxville, USA; The University of Tennessee, Knoxville, USA; The University of Tennessee, Knoxville, USA; The University of Tennessee, Knoxville, USA; Oak Ridge National Laboratory, USA; Dominion Virginia Power, Richmond, USA; Dominion Virginia Power, Richmond, USA; Dominion Virginia Power, Richmond, USA","2016 IEEE/PES Transmission and Distribution Conference and Exposition (T&D)","","2016","","","1","5","In order to improve the capability of utilizing big data and business intelligence in the power industry, this paper presents a comprehensive solution through building an enterprise-level data platform based on the OSIsoft PI system to support big data driven applications and analytics. The platform has the features of scalability, real time, service-oriented architecture and high reliability. Compared to traditional platforms in the power industry, the significant benefit of the innovative platform is that end users can use the data with the global model to drive the self-customized services rather than depend on IT professionals to deploy the service. The paper also describes how to implement data integration, global model construction and big data driven analytics, which are difficult to achieve with traditional solutions. Meanwhile, the paper exhibits preliminary visualization results through data analysis in real scenarios.","2160-8563","978-1-5090-2157-4","10.1109/TDC.2016.7520032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7520032","asset framework (AF);big data;common information model (CIM);data driven application;data integration;data platform;global model construction;time series database;visualization","Big data;Data models;Real-time systems;Power industry;Data visualization;Data integration;Substations","Big Data;business data processing;competitive intelligence;data analysis;data integration;electricity supply industry;service-oriented architecture","enterprise level data platform;big data driven applications;big data driven analytics;business intelligence;power industry;OSIsoft PI system;scalability feature;service-oriented architecture;reliability;self-customized service;service deployment;data integration;data analysis","","","7","","","","","IEEE","IEEE Conferences"
"Privacy Preserving Data Integration across Autonomous Cloud Services","S. A. Ghafour; P. Ghodous; C. Bonnet","Claude Bernard Univ. (Lyon 1), Villeurbanne, France; Claude Bernard Univ. (Lyon 1), Villeurbanne, France; Claude Bernard Univ. (Lyon 1), Villeurbanne, France","2015 IEEE 8th International Conference on Cloud Computing","","2015","","","1099","1102","In this paper, we tackle privacy issues of data sharing services in a cloud environment. We propose a service- oriented privacy-preserving model for data integration across autonomous clouds. Our model allows to execute aggregations of cloud data sharing services without revealing any extra information to any of the involved services. Thus, involved services enforce locally their privacy policies by applying their own access control models and data anonymization algorithms. We illustrate lack of data protection in current data sources through examples of querying data in a healthcare system.","2159-6190","978-1-4673-7287-9","10.1109/CLOUD.2015.160","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7214170","Privacy;Data Integration;Services;Cloud","Silicon;Human immunodeficiency virus;Data models;Data integration;Engines;Data privacy;Cryptography","cloud computing;data integration;data privacy","privacy preserving data integration;autonomous cloud services;data sharing services;privacy issues;cloud environment;service-oriented privacy-preserving model;access control models;data anonymization algorithms;data protection;data querying;health care system","","","6","","","","","IEEE","IEEE Conferences"
"Schema matching and data integration on protein crystallization screens","M. Shrestha; B. Bhattarai; R. S. Aygun; M. L. Pusey","Data Media Lab, Computer Science Department, University of Alabama in Huntsville, Huntsville, Alabama 35899, United States; Data Media Lab, Computer Science Department, University of Alabama in Huntsville, Huntsville, Alabama 35899, United States; Data Media Lab, Computer Science Department, University of Alabama in Huntsville, Huntsville, Alabama 35899, United States; iXpressGenes, Inc, Huntsville, Alabama 35806, United States","2017 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","","2017","","","2306","2308","The presence of heterogeneity in the data representation of the commercial protein screen makes the analysis of experimental results and the protein crystallization screening process difficult and time-consuming. In order to reduce the human effort required to deal with this problem, we present our application based on schema matching and data integration to automatically find the matching elements between the two screen schemas and then transform the input screen file to the required output screen format.","","978-1-5090-3050-7","10.1109/BIBM.2017.8218037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8218037","","Proteins;Protein engineering;Crystallization;Data integration;Transforms;Chemicals;Companies","biology computing;crystallisation;data integration;data structures;molecular biophysics;proteins","protein crystallization screening process;schema matching;data integration;screen schemas;required output screen format;protein crystallization screens;data representation;commercial protein screen","","","7","","","","","IEEE","IEEE Conferences"
"Mapping specifications for ranked hierarchical trees in data integration systems","S. Soomro; A. Matsunaga; J. A. B. Fortes","Advanced Computing and Information Systems (ACIS) Laboratory, University of Florida, Gainesville, Florida, USA; Advanced Computing and Information Systems (ACIS) Laboratory, University of Florida, Gainesville, Florida, USA; Advanced Computing and Information Systems (ACIS) Laboratory, University of Florida, Gainesville, Florida, USA","Proceedings of the 2014 IEEE 15th International Conference on Information Reuse and Integration (IEEE IRI 2014)","","2014","","","269","276","A popular approach to deal with data integration of heterogeneous data sources is to Extract, Transform and Load (ETL) data from disparate sources into a consolidated data store while addressing integration challenges including, but not limited to: structural differences in the source and target schemas, semantic differences in their vocabularies, and data encoding. This work focuses on the integration of tree-like hierarchical data or information that when modeled as a relational schema can take the shape of a flat schema, a self-referential schema or a hybrid schema. Examples include evolutionary taxonomies, geological time scales, and organizational charts. Given the observed complexity in developing ETL processes for this particular but common type of data, our work focuses on reducing the time and effort required to map and transform this data. Our research automates and simplifies the transformation from ranked self-referential to flat representations (and vice-versa), by: (a) proposing MSL+, an extension to IBM's Mapping Specification Language (MSL), to succinctly express the mapping between schemas while hiding the actual transformation implementation complexity from the user, and (b) implementing a transformation component for the Talend open-source ETL platform, called Tree Transformer (TT). We evaluated MSL+ and TT, in the context of biodiversity data integration, where this class of transformations is a recurring pattern. We demonstrate the effectiveness of MSL+ with respect to development time savings as well as a 2 to 25-fold performance improvement in transformation time achieved by TT when compared to existing implementations and to Talend built-in components.","","978-1-4799-5880-1","10.1109/IRI.2014.7051899","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7051899","data integration;self-referential schema;mapping language;data transformation;ETL","Data integration;Cities and towns;Data models;Complexity theory;XML;Continents;Transforms","data integration;formal specification","ranked hierarchical trees;data integration systems;mapping specifications;heterogeneous data sources;extract transform and load;ETL data;structural differences;tree like hierarchical data;relational schema;flat schema;evolutionary taxonomies;geological time scales;organizational charts;observed complexity;IBM mapping specification language;MSL;transformation implementation complexity;transformation component;tree transformer;biodiversity data integration","","","21","","","","","IEEE","IEEE Conferences"
"Data Integration Progression in Large Data Source Using Mapping Affinity","B. B. Ahamed; T. Ramkumar; S. Hariharan","Sathyabama Univ., Chennai, India; AVC Eng. Coll., Mannampandal, India; TRP Eng. Coll., Tiruchirappalli, India","2014 7th International Conference on Advanced Software Engineering and Its Applications","","2014","","","16","21","Many kind of pattern integration need to be effectively analyzed in large data which require extremely accurate pattern. Data integration is the problem of combining data residing at different sources, and providing the user with a unified view of these data. Existing patterns integration extracts low quality of pattern mapping in large databases and the systems focus only on identifying useful patterns at the attribute-value level. We propose a generalized technique to enable seamless integration of Multiple Data Sources It improves the quality of pattern reorganization significantly. Finally, experiments are conducted on few datasets, and the results of the experiments show that our method is useful and efficient.","","978-1-4799-7761-1","10.1109/ASEA.2014.11","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7023888","Multiple data sources;Integration;Content map;in order integration","Data mining;Data integration;Data warehouses;Data models;Educational institutions;Spatial databases","data integration;very large databases","data integration progression;large data source;mapping affinity;pattern integration;pattern mapping;large databases;attribute-value level;seamless integration;multiple data sources;pattern reorganization;datasets","","6","12","","","","","IEEE","IEEE Conferences"
"An improved approach of data integration based on differential privacy","Q. Yu; R. Rao","School of Software, Shanghai Jiaotong University, Shanghai, China; School of Software, Shanghai Jiaotong University, Shanghai, China","2014 IEEE International Conference on Progress in Informatics and Computing","","2014","","","395","399","Multiset operation and data transmission are the key operations for privacy preserving data integration because they involve the interaction of participants. This paper proposes an approach which contains anonymous multiset operation and distributed noise generation based on the existing researches and we apply it in data integration. Analysis shows that the improved approach provides security for data integration and has lower overhead than the existing researches.","","978-1-4799-2030-3","10.1109/PIC.2014.6972364","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6972364","differential privacy;data integration;multiset operation;noise generation","Noise;Data privacy;Data integration;Data warehouses;Encryption;Distributed databases","data integration;data privacy","data integration approach;differential privacy;privacy preserving data integration;data transmission;anonymous multiset operation;distributed noise generation","","","9","","","","","IEEE","IEEE Conferences"
"Data fusion in ontology based data integration","K. Saranya; M. S. Hema; S. Chandramathi","Department of Computer Science and engineering, Kumaraguru College of Technology, Coimbatore, Tamilnadu, India; Department of Computer Science and engineering, Kumaraguru College of Technology, Coimbatore, Tamil Nadu, India; Electrical Science, Sri Krishna College of Technology, Coimbatore, Tamilnadu, India","International Conference on Information Communication and Embedded Systems (ICICES2014)","","2014","","","1","6","The existence of numerous data sources needs a common interface to access data for much research in the field of data analysis. Data Integration should address issues like semantic heterogeneity, redundant data and data conflict. Many approaches that were proposed lack in considering data conflict as an issue, thus the resolution results of them are often inaccurate. In this paper, a novel data conflict resolution approach based on Markov Logic Networks (MLNs) for Ontology based data integration is devised. Ontology is used to handle semantic heterogeneity that would result in increase in the recall rate and precision of the result is increased by resolving data conflicts and thus the system ensures that the user always receives high-quality data for the user query. Experiment on book dataset for online book purchase application is done and the precision of the resultant dataset is increased thus showing the effectiveness of this approach.","","978-1-4799-3834-6","10.1109/ICICES.2014.7033792","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7033792","Data Integration;Duplicate detection;Data Conflict;Ontology;Markov Logic Network","Ontologies;Data integration;Semantics;Databases;Markov processes;Accuracy;Educational institutions","data analysis;Markov processes;ontologies (artificial intelligence);sensor fusion","data fusion;ontology;data integration;data analysis;semantic heterogeneity;redundant data;data conflict resolution approach;Markov logic network","","3","10","","","","","IEEE","IEEE Conferences"
"Design and application of data integration platform based on web services and XML","D. Qiu; J. Liu; G. Zhao","School of Information Technology & Media, Hexi University, Zhangye, Gansu, China, 734000; Artillery Training Base, Xuanhua, Hebei, China, 075100; PLA 371Hospital, Xinxiang, Henan, China, 453000","2016 6th International Conference on Electronics Information and Emergency Communication (ICEIEC)","","2016","","","253","256","At present, each department in large enterprises has already setup a large number of databases on Internet. But these databases lack the information sharing each other, forming the detached island of information; therefore enterprise data integration becomes more and more important. This paper presents a data integration and exchange framework under distributed heterogeneous environment based on web services and XML. The detailed functions of the framework are described. The methods are totally implemented in the data integration platform of the housing fund for eliminating isolated information islands.","2377-844X","978-1-5090-1997-7","10.1109/ICEIEC.2016.7589732","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7589732","Data Exchange;Data Integration;Web Services;XML;SOAP;WSDL;UDDI","XML;Data integration;Simple object access protocol;Data models;Database systems","data integration;Web services;XML","Web services;XML;Internet;information sharing;enterprise data integration;distributed heterogeneous environment;isolated information island elimination","","3","7","","","","","IEEE","IEEE Conferences"
"The Development of Data Integration Tool with Linked Data: Case Study: Bandung Education Data","W. D. Sunindyo; H. A. W. Kefas","School of Electrical Engineering and Informatics, Bandung Institute of Technology,Bandung,Indonesia; School of Electrical Engineering and Informatics, Bandung Institute of Technology,Bandung,Indonesia","2019 International Conference on Electrical Engineering and Informatics (ICEEI)","","2019","","","25","29","Education data is data about entities in education, such as students, education staff, and educational institution. Recently, education data has drawback of being able to be reused by other software, which results in data have to be migrated manually every time there is a change in other databases that also use education data. To enable data to be synchronized without having to migrate data manually, it is necessary to integrate and convert data into data that can be connected with other data in other software. Data structure that can be used by other software and enable data to be integrated is Linked Data. From this problem, this paper aims to build a tool to make data integrated and linked with other data in other software to automate migration. The tool will receive data input that will be converted into Linked Data. The resulted Linked Data then will be stored in RDF Store and can be fetched by other software through Web API or SPARQL Query Endpoint. In addition, users can explore the resulted Linked Data through RDF Subject Page. Based on the results of evaluations carried out using basic education data and PPDB 2018 data from Bandung State Junior High School 45, the built tool can produce integrated data that also can be used by other software. Thus, it can be concluded that developing tool to integrate and convert data can be a solution to make data integrated and can be used by other software.","2155-6830","978-1-7281-2418-6","10.1109/ICEEI47359.2019.8988794","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8988794","Linked Data;data integration;data conversion","Linked data;Resource description framework;Software;Transforms;Tools;Education","application program interfaces;data integration;data structures;database management systems;educational administrative data processing;educational institutions;Linked Data;query languages;query processing","data structure;Linked Data;PPDB 2018 data;data integration tool;Bandung education data;data migration;RDF store;Web API;SPARQL query endpoint;RDF subject page;Bandung State Junior High School","","","2","","","","","IEEE","IEEE Conferences"
"Research on Financial Information Integration of Agricultural Supply-Side Structural Reform in Heilongjiang Province Under the Framework of Big Data","H. Wang","Harbin Finance University","2019 International Conference on Virtual Reality and Intelligent Systems (ICVRIS)","","2019","","","299","302","Aiming at the low efficiency of financial information integration in agricultural supply-side structural reform caused by existing technologies, this paper studies the financial information integration of agricultural supply-side structural reform in Heilongjiang province under the framework of big data. The web extraction model is used to extract financial information of agricultural supply-side structural reform in Heilongjiang province from various web pages, and the extracted XML data files are sorted to remove the repetitive financial information. The sorted financial information is mapped to the database according to the set mapping rules. Clustering algorithm is used to integrate financial information data in database. In order to verify the research effect of financial information data integration under big data architecture, a comparative experiment is conducted with traditional information integration. The experimental results show that the proposed financial information integration efficiency of agricultural supply-side structural reform in Heilongjiang province under the big data framework is nearly 30% higher than the traditional integration efficiency, which is more advantageous.","","978-1-7281-5050-5","10.1109/ICVRIS.2019.00079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8921390","big data;agricultural supply-side structural reform;financial information integration","Data mining;Databases;Big Data;XML;Data models;Standards;Web pages","agriculture;Big Data;data integration;data mining;financial data processing;Internet;production engineering computing;supply chain management;XML","agricultural supply-side structural reform;Heilongjiang province;repetitive financial information;sorted financial information;financial information data integration;financial information integration efficiency;big data framework","","","10","","","","","IEEE","IEEE Conferences"
"OPSDS: A Semantic Data Integration and Service System Based on Domain Ontology","X. Liu; C. Hu; J. Huang; F. Liu","Sch. of Comput. & Commun. Eng., Univ. of Sci. & Technol. Beijing, Beijing, China; Sch. of Comput. & Commun. Eng., Univ. of Sci. & Technol. Beijing, Beijing, China; Sch. of Comput. & Commun. Eng., Univ. of Sci. & Technol. Beijing, Beijing, China; Sch. of Comput. & Commun. Eng., Univ. of Sci. & Technol. Beijing, Beijing, China","2016 IEEE First International Conference on Data Science in Cyberspace (DSC)","","2016","","","302","306","For the distributed, heterogeneous, relational complex data sources of petroleum engineering, we present an oil production engineering semantic-based data integration system (OPSDS). OPSDS establishes a semantic data integration and service system based on domain ontology on the premise of building a global semantic model and realizing the global semantic search. The global semantic data model applied to various oil fields is set up by ontology extraction, ontology evolution, ontology combination and semantic constraints. The domain-oriented data integration to provide the data access and shared service is realized by ontology mapping, query transformation, and data cleaning. Users and upper applications can have a direct access to underlying complex data sources in times of need through the global semantic data model, and the cleaned data can be returned in a unified format. OPSDS has been realized and got extensive use in many platforms of China National Petroleum Corporation (CNPC). It has been found that the method can not only provide the comprehensive and real-time data support for oil and gas wells, but also improve the production and recovery efficiency with good application.","","978-1-5090-1192-6","10.1109/DSC.2016.15","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7866141","petroleum information system;data service;domain data semantic integration;ontology technology of petroleum engineering;distributed data processing","Ontologies;Oils;Semantics;Production;Databases;Petroleum;Data integration","data integration;data models;information retrieval;oil technology;ontologies (artificial intelligence);petroleum industry;production engineering computing","production efficiency;recovery efficiency;oil wells;gas wells;real-time data support;CNPC;China National Petroleum Corporation;data cleaning;query transformation;ontology mapping;data access shared service;domain-oriented data integration;semantic constraints;ontology evolution;ontology extraction;global semantic data model;semantic data integration-and-service system;oil production engineering semantic-based data integration system;petroleum engineering;distributed-heterogeneous-relational complex data sources;OPSDS","","","10","","","","","IEEE","IEEE Conferences"
"On data integration and data mining for developing business intelligence","P. Chung; S. H. Chung","Dept. of Computer Science, Long Island University, Brooklyn, NY; American Express Corporation & St. John's University, NY","2013 IEEE Long Island Systems, Applications and Technology Conference (LISAT)","","2013","","","1","6","Business Intelligence (BI) allows a corporation's executives to acquire a better understanding of their customers, the market, supply and resources, and competitors in order to make effective strategic decisions. BI technologies provide historical, current and predictive views of business operations such as reporting, online analytical processing, business performance management, competitive intelligence, benchmarking, and predictive analytics. Web Services technologies responded quickly to help such evolution and in many situations the Web Services application is driving businesses and dictating a new way of doing business. Web information usually contains multimedia data with unstructured fashions. Through the effective analysis of company's Web information, we could make effective market analysis, compare customer feedback on similar products, discover the strengths and weaknesses of their competitors, retain highly valuable customers, and make smart business decisions. In this paper, we discuss two case studies on data integration and data mining. The first case is for the traditional data analytics using relational database techniques such as Oracle database and Cognos BI tool for integrating and mining a company's web site. The second case is for multimedia data analytics using Monago database and Pentaho BI tool for integrating and mining multimedia data presented in a company's web site. We compare both cases in aspects of Data Integration, Metadata, Query Performance and Data Analytics. Finally, we present experimental results for using the above data mining techniques and tools to better understand features of each customer group and develop customized customer reward programs.","","978-1-4673-6245-0","10.1109/LISAT.2013.6578235","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6578235","Data integration;data mining;web server;database;business intelligence","Data mining;Business;Data integration;Bismuth;Web sites;Relational databases","competitive intelligence;data analysis;data integration;data mining;meta data;multimedia systems;query processing;relational databases;Web services;Web sites","data integration;business intelligence;BI technologies;Web services technologies;relational database techniques;Oracle database;Cognos BI tool;company Web site mining;multimedia data analytics;Monago database;Pentaho BI tool;multimedia data mining;metadata;query performance;customer group features;customized customer reward programs","","4","24","","","","","IEEE","IEEE Conferences"
